v10
Golden Technoland
map_golden_technoland
1,29,902,365,0.22,1 0.816 0.275 0.565
1,29,213,332,0.22,1 0.816 0.275 0.486
1,29,563,101,0.31,1 0.816 0.275 0.659
1,29,780,483,0.3,1 0.816 0.275 0.659
1,29,632,324,0.5,0.753 0.631 0.557 0.455
3,289,330,481,0.5,1 0.89 0.922 1
3,226,567,95,0.27,1 0.918 0.675 0.878
3,221,787,473,0.13,1 0.918 0.612 0.878
3,240,215,325,0.36,1 0.937 0.737 0.455
3,237,909,363,0.2,1 0.906 0.384 0.455
3,215,635,314,0.19,0.753 0.631 0.557 0.988
5,17,352,492,1.8,0.753 0.631 0.557 0.737
