v10
Technoland
map_dark_technoland
1,29,434,366,1.21,1 1 1 0.408
1,29,937,289,0.32,0.745 0.918 0.902 0.549
1,29,230,328,0.3,0.733 0.741 0.733 0.706
1,31,356,224,0.19,1 1 1 1
1,31,455,335,0.4,0.733 0.741 0.733 0.518
1,29,567,375,0.36,0.675 0.784 0.957 0.486
1,31,491,482,0.55,1 1 1 0.455
3,215,660,82,0.09,0.796 0.804 0.796 1
3,215,1033,331,0.09,0.647 0.655 0.647 1
3,216,637,323,0.16,0.851 0.859 0.851 1
3,236,599,386,0.13,0.89 0.918 1 1
3,508,463,335,0.26,1 1 1 1
3,95,950,266,0.25,0.894 1 0.988 0.549
3,505,354,226,0.33,1 1 1 1
3,95,227,318,0.26,0.863 0.898 1 0.549
3,91,454,334,0.22,0.518 0.694 1 0.706
3,89,482,296,0.3,0.361 0.761 1 0.706
3,346,954,281,0.34,0.565 0.737 0.722 0.706
3,318,938,277,0.27,1 1 1 1
3,332,954,275,0.45,0.745 0.918 0.902 0.706
3,392,242,309,0.31,0.851 0.859 0.851 1
3,397,214,327,0.32,0.78 0.788 0.78 1
3,78,242,328,0.19,0.878 0.725 0.808 1
3,226,584,86,0.39,0.745 0.816 0.98 1
3,229,1013,317,0.44,0.714 0.776 0.965 1
3,229,570,366,0.26,0.761 0.824 1 1
3,225,581,367,0.25,0.675 0.784 0.957 1
3,236,602,339,0.13,0.812 0.937 1 1
3,236,612,380,0.13,0.859 0.953 1 1
3,286,331,169,0.43,0.796 0.933 1 1
3,288,856,487,0.47,0.871 0.855 1 1
3,287,863,167,0.45,0.812 0.898 1 1
3,237,492,486,0.24,1 1 1 1
5,18,178,258,0.5,0.714 1 0.871 0.361
5,18,897,212,0.5,0.776 1 0.839 0.361
5,18,580,293,0.58,1 1 1 0.345
5,29,1032,316,0.32,1 1 1 1
5,29,345,206,0.32,1 1 1 1
5,33,292,191,0.29,1 1 1 1
5,32,270,211,0.3,1 1 1 1
5,34,329,180,0.25,1 1 1 1
5,28,337,201,0.28,1 1 1 1
5,32,555,60,0.36,1 0.627 1 1
5,18,288,184,0.69,0.671 0.933 1 0.424
5,17,352,204,2.38,0.455 0.604 1 0.69
5,17,1046,353,0.69,0.62 0.737 1 0.612
5,17,634,97,0.74,0.502 0.737 1 0.486
5,17,837,496,1.69,0.384 0.667 0.886 0.831
5,17,370,200,1.1,0.612 0.831 1 0.486
5,17,659,117,1.0,0.549 0.816 1 0.424
5,17,1022,364,1.1,0.471 0.686 1 0.392
5,32,952,316,0.27,1 1 1 1
5,30,655,68,0.37,1 1 1 1
5,17,836,227,1.56,0.345 0.667 1 0.816
5,17,868,184,1.89,0.486 0.608 1 0.769
5,17,491,464,0.64,0.345 0.467 0.729 0.455
