v10
Craterfield
map_craterfield
1,29,528,199,0.27,1 1 1 0.533
1,29,634,473,0.27,1 1 1 0.486
1,29,390,397,0.5,1 1 1 0.345
1,29,683,241,0.16,1 1 1 0.596
1,29,567,344,0.59,1 1 1 0.533
3,390,573,310,0.33,1 1 1 1
3,387,574,274,0.5,1.0 1.0 1.0 1.0
3,387,749,237,0.5,1.0 1.0 1.0 1.0
3,387,530,359,0.5,1.0 1.0 1.0 1.0
3,387,423,378,0.42,1 1 1 1
3,387,816,321,0.5,1.0 1.0 1.0 1.0
3,387,612,318,0.5,1.0 1.0 1.0 1.0
3,387,562,327,0.31,1 1 1 1
3,395,478,277,0.43,1 1 1 1
3,395,684,239,0.43,1 1 1 1
3,395,713,445,0.5,1.0 1.0 1.0 1.0
3,396,602,204,0.5,1.0 1.0 1.0 1.0
3,396,395,342,0.5,1.0 1.0 1.0 1.0
3,396,804,370,0.44,1 1 1 1
3,396,915,351,0.5,1.0 1.0 1.0 1.0
3,396,512,460,0.5,1.0 1.0 1.0 1.0
3,396,442,202,0.5,1.0 1.0 1.0 1.0
3,398,835,233,0.35,1 1 1 1
3,398,388,373,0.5,1.0 1.0 1.0 1.0
3,398,635,465,0.5,1.0 1.0 1.0 1.0
3,398,654,301,0.32,1 1 1 1
3,398,522,186,0.4,1 1 1 1
3,398,594,424,0.29,1 1 1 1
5,1,584,299,1.39,1 1 1 0.298
5,1,694,408,1.47,1 1 1 0.22
5,1,472,381,1.97,1 1 1 0.314
5,1,505,226,1.5,1 1 1 0.267
5,1,785,284,1.87,1 1 1 0.282
