v10
Lobby
map_soft_grass
1,33,831,173,0.5,1.0 1.0 1.0 1.0
1,27,501,301,0.61,1 1 1 0.408
1,33,866,173,0.5,1 1 1 1
1,33,229,363,0.5,1 1 1 0.737
1,27,799,327,0.56,1 1 1 0.502
1,29,232,359,0.56,1 1 1 1
1,33,819,158,0.5,1.0 1.0 1.0 1.0
1,27,584,176,0.67,1 1 1 0.659
1,33,814,176,0.5,1.0 1.0 1.0 1.0
1,29,774,154,0.24,1 1 1 1
1,29,831,217,1.74,1 0.969 0.749 0.753
1,29,763,236,0.54,1 1 1 0.424
1,29,718,258,0.5,1 1 1 0.314
1,29,661,283,0.5,1 1 1 0.408
1,33,777,207,0.39,1 1 1 0.643
1,33,745,221,0.3,1 1 1 0.596
1,33,717,237,0.29,1 1 1 0.439
1,50,339,306,0.58,1 1 1 0.894
1,33,691,252,0.31,1 1 1 0.376
1,50,397,335,0.5,1 1 1 0.878
1,29,903,285,0.5,1 1 1 0.596
1,50,287,333,0.5,1 1 1 0.894
1,50,340,360,0.5,1 1 1 0.878
1,5,366,463,0.64,1 1 1 1
1,5,371,380,0.65,1 1 1 1
1,27,269,379,0.46,1 1 1 0.345
1,29,322,324,0.58,1 1 1 0.565
1,29,416,330,0.51,1 1 1 0.58
1,29,359,304,0.64,1 1 1 0.361
1,29,317,290,0.75,1 1 1 0.878
1,29,390,304,0.5,1 1 1 0.267
3,255,338,298,0.45,1 1 1 1
3,253,317,309,0.46,1 1 1 1
3,78,281,376,0.5,1.0 1.0 1.0 1.0
3,507,395,367,0.5,1.0 1.0 1.0 1.0
3,507,358,384,0.5,1 1 1 1
3,508,211,346,0.5,1 1 1 1
3,89,227,347,0.23,1 1 1 1
3,67,225,303,0.58,1 1 1 1
3,392,918,263,0.67,1 1 1 1
3,397,894,269,0.5,1.0 1.0 1.0 1.0
3,93,920,281,0.2,1 1 1 1
3,508,580,42,0.5,1 1 1 1
3,505,599,32,0.5,1 1 1 1
3,502,804,134,0.5,1 1 1 1
3,504,886,175,0.5,1 1 1 1
3,504,620,42,0.5,1 1 1 1
3,91,898,266,0.3,1 1 1 1
3,414,807,145,0.5,1 1 1 1
3,87,791,136,0.3,0.729 0.835 0.894 1
3,87,796,161,0.15,1 1 1 1
3,87,873,200,0.19,0.557 0.616 1 1
3,276,845,155,0.5,1 1 1 1
3,425,864,184,0.5,0.898 0.906 0.898 1
3,49,587,174,0.5,1.0 1.0 1.0 1.0
3,329,777,149,0.57,1 1 1 1
3,18,502,300,0.5,1.0 1.0 1.0 1.0
3,2002,802,325,0.57,1 1 1 1
3,507,341,280,0.5,1 1 1 1
3,511,316,293,0.5,1 1 1 1
3,511,263,320,0.5,1 1 1 1
3,506,366,293,0.5,1 1 1 1
3,505,230,336,0.5,1 1 1 1
3,503,256,349,0.5,1 1 1 1
3,503,421,320,0.5,1 1 1 1
3,504,303,373,0.5,1 1 1 1
3,508,441,345,0.5,1 1 1 1
