v10
Wasteland
map_wasteland
1,29,556,272,0.59,1 1 1 0.424
1,29,1134,345,0.59,1 0.922 0.91 0.612
1,29,657,236,0.79,1 1 1 0.408
1,29,1081,340,0.69,1 1 1 0.533
1,29,894,375,0.44,1 1 1 0.627
1,29,839,258,0.63,1 1 1 0.737
1,29,796,289,0.32,1 1 1 0.58
1,29,350,266,0.81,1 1 1 0.769
1,1,847,351,0.5,1.0 1.0 1.0 1.0
1,29,878,347,0.83,1 1 1 0.408
1,29,564,320,0.29,1 1 1 1
1,29,596,307,0.27,1 1 1 0.675
1,29,811,395,1.5,1 1 1 0.518
1,29,697,434,0.68,1 0.871 0.918 0.596
1,29,600,80,0.63,1 0.922 0.91 0.659
1,29,346,488,0.86,0.467 1 0.529 0.69
3,2006,345,266,0.5,1.0 1.0 1.0 1.0
3,2008,886,290,0.5,1.0 1.0 1.0 1.0
3,276,321,473,0.5,1 1 1 1
3,84,677,442,0.65,1 0.835 0.957 1
3,91,862,378,0.28,0.898 0.906 0.898 1
3,318,609,67,0.74,0.996 0.816 0.667 1.004
3,413,1140,319,0.65,1 0.922 0.91 1.004
3,414,556,459,0.72,0.843 0.851 0.843 1
3,87,573,462,0.23,0.659 0.792 0.957 1
